0,1132,1715,2091,2659,3394,3812,2835,4433,4378,3537,4230,4238,3990
1132,0,695,959,1527,2262,2792,2980,3301,3602,3682,3655,4338,4090
1715,695,0,1654,2222,2957,2097,3675,3996,3226,4067,4350,4071,4319
2091,959,1654,0,568,1303,2023,2021,2342,2643,2723,2696,3379,3131
2659,1527,2222,568,0,735,1455,1453,2910,2075,2155,2848,2856,2608
3394,2262,2957,1303,735,0,2190,718,2467,1340,1420,2113,2121,1873
3812,2792,2097,2023,1455,2190,0,2672,3011,1129,1970,2663,1975,2222
2835,2980,3675,2021,1453,718,2672,0,1749,1543,702,1395,1403,1155
4433,3301,3996,2342,2910,2467,3011,1749,0,1888,1047,596,1037,789
4378,3602,3226,2643,2075,1340,1129,1543,1888,0,841,1534,1542,1294
3537,3682,4067,2723,2155,1420,1970,702,1047,841,0,368,701,453
4230,3655,4350,2696,2848,2113,2663,1395,596,1534,368,0,387,1143
4238,4338,4071,3379,2856,2121,1975,1403,1037,1542,701,387,0,247
3990,4090,4319,3131,2608,1873,2222,1155,789,1294,453,1143,247,0
